Syntax version=4
Thu Apr 23 10:47:48 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		particles_03	particles_05	particles_10	particles_100	particles_25	particles_50	baseline
D:	time(ms)	(0x200004a4,4)	(0x200004a8,4)	(0x200004ac,4)	(0x200004b0,4)	(0x200004b4,4)	(0x200004b8,4)	(0x20000070,6)
D:	269.62	0	0	0	0	0	0	9.464469
D:	270.45	0	0	0	0	0	0	9.497595
D:	271.39	0	0	0	0	0	0	9.384547
D:	272.34	0	0	0	0	0	0	9.332869
D:	273.21	0	0	0	0	0	0	9.278296
D:	274.06	0	0	0	0	0	0	9.345598
D:	274.93	0	0	0	0	0	0	9.205438
D:	275.76	0	0	0	0	0	0	9.164475
D:	276.61	0	0	0	0	0	0	9.147962
D:	277.43	0	0	0	0	0	0	9.140949
D:	278.27	0	0	0	0	0	0	9.071631
D:	279.18	0	0	0	0	0	0	9.106390
D:	280.00	0	0	0	0	0	0	9.033676
D:	280.88	0	0	0	0	0	0	8.926620
D:	281.72	0	0	0	0	0	0	8.832103
D:	282.54	0	0	0	0	0	0	8.742822
D:	283.33	0	0	0	0	0	0	8.682253
D:	284.20	0	0	0	0	0	0	8.560121
D:	285.04	0	0	0	0	0	0	8.627822
D:	285.88	0	0	0	0	0	0	8.582467
D:	286.80	0	0	0	0	0	0	8.577425
D:	287.73	0	0	0	0	0	0	8.527589
D:	288.52	0	0	0	0	0	0	8.531610
D:	289.40	0	0	0	0	0	0	8.580295
D:	290.26	0	0	0	0	0	0	8.537676
D:	291.12	0	0	0	0	0	0	8.488110
D:	291.99	0	0	0	0	0	0	8.391568
D:	292.86	0	0	0	0	0	0	8.292632
D:	293.67	0	0	0	0	0	0	8.297539
D:	294.51	0	0	0	0	0	0	8.443436
D:	295.49	0	0	0	0	0	0	8.468166
D:	296.35	0	0	0	0	0	0	8.499046
D:	297.19	0	0	0	0	0	0	8.501856
D:	298.07	0	0	0	0	0	0	8.496789
D:	298.92	0	0	0	0	0	0	8.565099
D:	299.71	0	0	0	0	0	0	8.517172
D:	300.49	0	0	0	0	0	0	8.559840
D:	301.31	0	0	0	0	0	0	8.543631
D:	302.11	0	0	0	0	0	0	8.545252
D:	303.05	0	0	0	0	0	0	8.611423
D:	303.92	0	0	0	0	0	0	8.789889
D:	304.74	0	0	0	0	0	0	8.970198
D:	305.60	0	0	0	0	0	0	8.979018
D:	306.40	0	0	0	0	0	0	9.036677
D:	307.19	0	0	0	0	0	0	8.971647
D:	307.98	0	0	0	0	0	0	8.809991
D:	308.97	0	0	0	0	0	0	8.727434
D:	309.86	0	0	0	0	0	0	8.660592
D:	310.66	0	0	0	0	0	0	8.497101
D:	311.47	0	0	0	0	0	0	8.458562
D:	312.36	0	0	0	0	0	0	8.609027
D:	313.22	0	0	0	0	0	0	8.601268
D:	314.05	0	0	0	0	0	0	8.666132
D:	314.93	0	0	0	0	0	0	8.641661
D:	315.91	0	0	0	0	0	0	8.713250
D:	316.86	0	0	0	0	0	0	8.632147
D:	317.72	0	0	0	0	0	0	8.725714
D:	318.57	0	0	0	0	0	0	8.691205
D:	319.41	0	0	0	0	0	0	8.935399
D:	320.28	0	0	0	0	0	0	8.838156
D:	321.42	0	0	0	0	0	0	8.710977
D:	322.30	0	0	0	0	0	0	8.766262
D:	323.14	0	0	0	0	0	0	8.780983
D:	324.01	0	0	0	0	0	0	8.830748
D:	325.07	0	0	0	0	0	0	8.802917
D:	326.02	0	0	0	0	0	0	8.623558
D:	326.98	0	0	0	0	0	0	8.632645
D:	327.93	0	0	0	0	0	0	8.524270
D:	328.87	0	0	0	0	0	0	8.481894
D:	329.72	0	0	0	0	0	0	8.562840
D:	330.57	0	0	0	0	0	0	8.529888
D:	331.43	0	0	0	0	0	0	8.496926
D:	332.31	0	0	0	0	0	0	8.416808
D:	333.22	0	0	0	0	0	0	8.315022
D:	334.08	0	0	0	0	0	0	8.294320
D:	334.93	0	0	0	0	0	0	8.300653
D:	335.77	0	0	0	0	0	0	8.223692
D:	336.67	0	0	0	0	0	0	8.276609
D:	337.56	0	0	0	0	0	0	8.436163
D:	338.44	0	0	0	0	0	0	8.505262
D:	339.33	0	0	0	0	0	0	8.657576
D:	340.22	0	0	0	0	0	0	8.720050
D:	341.08	0	0	0	0	0	0	8.581055
D:	342.10	0	0	0	0	0	0	8.653997
D:	343.00	0	0	0	0	0	0	8.732905
D:	343.88	0	0	0	0	0	0	8.654983
D:	344.68	0	0	0	0	0	0	8.704800
D:	345.47	0	0	0	0	0	0	8.739940
D:	346.37	0	0	0	0	0	0	8.736570
D:	347.21	0	0	0	0	0	0	8.640469
D:	348.06	0	0	0	0	0	0	8.690892
D:	348.86	0	0	0	0	0	0	8.670311
D:	349.65	0	0	0	0	0	0	8.617866
D:	350.44	0	0	0	0	0	0	8.681108
D:	351.26	0	0	0	0	0	0	8.682887
D:	352.06	0	0	0	0	0	0	8.902134
D:	352.86	0	0	0	0	0	0	8.743775
D:	353.71	0	0	0	0	0	0	8.588606
D:	354.50	0	0	0	0	0	0	8.536050
D:	355.37	0	0	0	0	0	0	8.475845
D:	356.20	0	0	0	0	0	0	8.655605
D:	356.99	0	0	0	0	0	0	8.808764
D:	357.78	0	0	0	0	0	0	8.793663
D:	358.62	0	0	0	0	0	0	8.629183
D:	359.52	0	0	0	0	0	0	8.697711
D:	360.35	0	0	0	0	0	0	8.732062
D:	361.19	0	0	0	0	0	0	8.869604
D:	362.01	0	0	0	0	0	0	8.827327
D:	362.86	0	0	0	0	0	0	9.032873
D:	363.66	0	0	0	0	0	0	8.964917
D:	364.45	0	0	0	0	0	0	8.969710
D:	365.24	0	0	0	0	0	0	8.905581
D:	366.04	0	0	0	0	0	0	8.905303
D:	366.88	0	0	0	0	0	0	8.894331
D:	367.66	0	0	0	0	0	0	8.910126
D:	368.48	0	0	0	0	0	0	8.957158
D:	369.35	0	0	0	0	0	0	8.925208
D:	370.22	0	0	0	0	0	0	8.912709
D:	371.03	0	0	0	0	0	0	8.815487
D:	371.87	0	0	0	0	0	0	8.636106
D:	372.65	0	0	0	0	0	0	8.502507
D:	373.45	0	0	0	0	0	0	8.474199
D:	374.24	0	0	0	0	0	0	8.438413
D:	375.03	0	0	0	0	0	0	8.492408
D:	375.96	0	0	0	0	0	0	8.623436
D:	376.99	0	0	0	0	0	0	8.658501
D:	377.92	0	0	0	0	0	0	8.687510
D:	378.73	0	0	0	0	0	0	8.774349
D:	379.54	0	0	0	0	0	0	8.788405
D:	380.35	0	0	0	0	0	0	8.726917
D:	381.24	0	0	0	0	0	0	8.762273
D:	382.04	0	0	0	0	0	0	8.767998
D:	382.86	0	0	0	0	0	0	8.739216
D:	383.69	0	0	0	0	0	0	8.689400
D:	384.50	0	0	0	0	0	0	8.772681
D:	385.37	0	0	0	0	0	0	8.825299
D:	386.23	0	0	0	0	0	0	8.825607
D:	387.06	0	0	0	0	0	0	8.870910
D:	387.94	0	0	0	0	0	0	9.117203
D:	388.87	0	0	0	0	0	0	9.339005
D:	389.73	0	0	0	0	0	0	9.210147
D:	390.65	0	0	0	0	0	0	9.150599
D:	391.50	0	0	0	0	0	0	9.263367
D:	392.40	0	0	0	0	0	0	9.122326
D:	393.30	0	0	0	0	0	0	9.072047
D:	394.23	0	0	0	0	0	0	8.881753
D:	395.10	0	0	0	0	0	0	8.878206
D:	396.06	0	0	0	0	0	0	9.001773
D:	397.02	0	0	0	0	0	0	9.092560
D:	398.11	0	0	0	0	0	0	9.235682
D:	399.08	0	0	0	0	0	0	9.465078
D:	399.92	0	0	0	0	0	0	9.383960
D:	400.77	0	0	0	0	0	0	9.267143
D:	401.64	0	0	0	0	0	0	9.328937
D:	402.48	0	0	0	0	0	0	9.300996
D:	403.61	0	0	0	0	0	0	9.211661
D:	404.67	0	0	0	0	0	0	9.046377
D:	405.63	0	0	0	0	0	0	9.310744
D:	406.59	0	0	0	0	0	0	9.152599
D:	407.59	0	0	0	0	0	0	9.179783
D:	408.51	0	0	0	0	0	0	9.064242
D:	409.38	0	0	0	0	0	0	9.194477
D:	410.23	0	0	0	0	0	0	9.100432
D:	411.12	0	0	0	0	0	0	9.087059
D:	411.99	0	0	0	0	0	0	8.883307
D:	412.86	0	0	0	0	0	0	8.894422
D:	413.66	0	0	0	0	0	0	8.979026
D:	414.46	0	0	0	0	0	0	9.044029
D:	415.34	0	0	0	0	0	0	9.082658
D:	416.16	0	0	0	0	0	0	9.057004
D:	417.01	0	0	0	0	0	0	9.139092
D:	417.77	0	0	0	0	0	0	9.144445
D:	418.57	0	0	0	0	0	0	9.253435
D:	419.37	0	0	0	0	0	0	9.272871
D:	420.18	0	0	0	0	0	0	9.263601
D:	421.03	0	0	0	0	0	0	9.260088
D:	422.00	0	0	0	0	0	0	9.261958
D:	422.86	0	0	0	0	0	0	9.351095
D:	423.72	0	0	0	0	0	0	9.275644
D:	424.50	0	0	0	0	0	0	9.232291
D:	425.37	0	0	0	0	0	0	9.250934
D:	426.18	0	0	0	0	0	0	9.189033
D:	427.02	0	0	0	0	0	0	9.237803
D:	427.86	0	0	0	0	0	0	9.262796
D:	428.65	0	0	0	0	0	0	9.363349
D:	429.44	0	0	0	0	0	0	9.396688
D:	430.26	0	0	0	0	0	0	9.435103
D:	431.06	0	0	0	0	0	0	9.367258
D:	431.86	0	0	0	0	0	0	9.211730
D:	432.65	0	0	0	0	0	0	9.127007
D:	433.45	0	0	0	0	0	0	9.086986
D:	434.34	0	0	0	0	0	0	9.068465
D:	435.19	0	0	0	0	0	0	9.044698
D:	436.06	0	0	0	0	0	0	9.153472
D:	437.05	0	0	0	0	0	0	9.075776
D:	437.92	0	0	0	0	0	0	9.259579
D:	438.73	0	0	0	0	0	0	9.426600
D:	439.53	0	0	0	0	0	0	9.636551
D:	440.36	0	0	0	0	0	0	9.548023
D:	441.18	0	0	0	0	0	0	9.403614
D:	441.99	0	0	0	0	0	0	9.302085
D:	442.77	0	0	0	0	0	0	9.096366
D:	443.58	0	0	0	0	0	0	9.026772
D:	444.40	0	0	0	0	0	0	8.912777
D:	445.18	0	0	0	0	0	0	9.006881
D:	446.08	0	0	0	0	0	0	9.130765
D:	446.99	0	0	0	0	0	0	9.145917
D:	447.87	0	0	0	0	0	0	9.377160
D:	448.66	0	0	0	0	0	0	9.384643
D:	449.47	0	0	0	0	0	0	9.470709
D:	450.35	0	0	0	0	0	0	9.355043
D:	451.23	0	0	0	0	0	0	9.174916
D:	452.04	0	0	0	0	0	0	9.021735
D:	452.86	0	0	0	0	0	0	9.074692
D:	453.69	0	0	0	0	0	0	9.006917
D:	454.87	0	0	0	0	0	0	9.074204
D:	455.71	0	0	0	0	0	0	9.064772
D:	456.55	0	0	0	0	0	0	9.042004
D:	457.41	0	0	0	0	0	0	9.093701
D:	458.29	0	0	0	0	0	0	9.039792
D:	459.14	0	0	0	0	0	0	8.953170
D:	460.02	0	0	0	0	0	0	8.932737
D:	460.99	0	0	0	0	0	0	8.945372
D:	461.87	0	0	0	0	0	0	8.851686
D:	462.73	0	0	0	0	0	0	8.832183
D:	463.58	0	0	0	0	0	0	9.061423
D:	464.49	0	0	0	0	0	0	9.103189
D:	465.52	0	0	0	0	0	0	9.072981
D:	466.40	0	0	0	0	0	0	8.894985
D:	467.29	0	0	0	0	0	0	8.796590
D:	468.14	0	0	0	0	0	0	8.875136
D:	469.01	0	0	0	0	0	0	8.889566
D:	469.88	0	0	0	0	0	0	9.096126
D:	470.73	0	0	0	0	0	0	9.000770
D:	471.88	0	0	0	0	0	0	8.944366
D:	472.72	0	0	0	0	0	0	9.031193
D:	473.56	0	0	0	0	0	0	9.005467
D:	474.52	0	0	0	0	0	0	8.889774
D:	475.47	0	0	0	0	0	0	8.945482
D:	476.40	0	0	0	0	0	0	8.913568
D:	477.27	0	0	0	0	0	0	8.858037
D:	478.14	0	0	0	0	0	0	9.082157
